Date,Timestamp,Open,High,Low,Close,Volume
20230101,23:00:00,0.88372,0.88395,0.88261,0.8832,223.659997910261
20230102,00:00:00,0.8832,0.88524,0.8832,0.88516,662.780021101236
20230102,01:00:00,0.88516,0.88546,0.88384,0.88437,836.620023697615
20230102,02:00:00,0.88437,0.88468,0.88359,0.8842,78.8400026410818
20230102,03:00:00,0.88419,0.88532,0.88388,0.88389,301.690003268421
20230102,04:00:00,0.88388,0.88507,0.88388,0.88503,632.190014213324
20230102,05:00:00,0.88502,0.88523,0.8843,0.88436,787.480010449886
20230102,06:00:00,0.88435,0.886,0.8836,0.8837,3268.5400724709
20230102,07:00:00,0.88378,0.8851,0.88343,0.88503,5131.26002321392
20230102,08:00:00,0.88503,0.88658,0.88351,0.88569,12033.6602277309
20230102,09:00:00,0.88565,0.88724,0.88517,0.88626,13682.4903248549
20230102,10:00:00,0.88627,0.88672,0.88546,0.88631,7410.8601769805
20230102,11:00:00,0.88631,0.88657,0.88599,0.88632,3617.77010917664
20230102,12:00:00,0.88631,0.88663,0.88573,0.88616,3638.01007986069
20230102,13:00:00,0.88617,0.88648,0.88573,0.88591,3187.7400867939
20230102,14:00:00,0.88592,0.88623,0.88526,0.88551,1966.38006067276
20230102,15:00:00,0.88551,0.88557,0.8845,0.88499,3378.26007938385
20230102,16:00:00,0.88496,0.88563,0.88406,0.88432,8974.54026452452
20230102,17:00:00,0.8843,0.88493,0.88424,0.88459,2568.96008789539
20230102,18:00:00,0.88454,0.88479,0.88403,0.88403,2946.30010807514
20230102,19:00:00,0.88403,0.88463,0.8839,0.8844,1105.94003436714
20230102,20:00:00,0.8844,0.88511,0.88401,0.88495,1398.0300257057
20230102,21:00:00,0.88484,0.88551,0.88409,0.88511,584.940009564161
20230102,22:00:00,0.8851,0.88522,0.88452,0.88475,432.920004367828
20230102,23:00:00,0.88475,0.88546,0.88282,0.88494,10285.7903427482
20230103,00:00:00,0.88492,0.88556,0.88478,0.88514,7954.91006934643
20230103,01:00:00,0.88514,0.88559,0.88446,0.88451,11645.5902425051
20230103,02:00:00,0.8845,0.88454,0.88336,0.8838,7255.07024157047
20230103,03:00:00,0.88379,0.88401,0.88348,0.8838,6613.3501855135
20230103,04:00:00,0.8838,0.88398,0.88347,0.8835,5015.26002299786
20230103,05:00:00,0.8835,0.8836,0.88318,0.8834,7605.34016048908
20230103,06:00:00,0.8834,0.88363,0.88272,0.88298,8530.05023384094
20230103,07:00:00,0.88298,0.88337,0.88217,0.88311,13035.0501977205
20230103,08:00:00,0.88311,0.88623,0.88308,0.88572,22963.6404061317
